iter	Passed	Remaining
0	5	518
1	10	510
2	15	495
3	18	452
4	25	488
5	29	461
6	31	420
7	33	390
8	37	376
9	40	364
10	42	345
11	44	329
12	47	316
13	49	304
14	52	300
15	55	293
16	57	282
17	59	272
18	61	262
19	63	255
20	65	248
21	69	245
22	71	237
23	72	231
24	75	225
25	77	219
26	78	213
27	81	208
28	84	207
29	86	202
30	88	196
31	90	191
32	92	187
33	94	183
34	96	179
35	99	176
36	101	173
37	103	169
38	105	164
39	107	161
40	109	157
41	109	151
42	113	149
43	116	148
44	118	144
45	120	141
46	122	137
47	124	134
48	125	131
49	128	128
50	130	125
51	133	123
52	135	120
53	136	116
54	137	112
55	139	109
56	140	105
57	142	103
58	144	100
59	146	97
60	147	94
61	148	91
62	149	87
63	150	84
64	151	81
65	152	78
66	153	75
67	154	72
68	155	69
69	157	67
70	159	64
71	161	62
72	162	59
73	163	57
74	164	54
75	165	52
76	166	49
77	167	47
78	167	44
79	168	42
80	169	39
81	170	37
82	172	35
83	174	33
84	176	31
85	177	28
86	178	26
87	179	24
88	180	22
89	181	20
90	182	18
91	183	15
92	184	13
93	185	11
94	187	9
95	188	7
96	190	5
97	192	3
98	193	1
99	194	0
