iter	Passed	Remaining
0	150	150134
1	151	75720
2	152	50817
3	154	38382
4	155	30918
5	157	26017
6	158	22530
7	160	19915
8	163	17990
9	165	16373
10	166	14977
11	168	13837
12	169	12870
13	170	12034
14	172	11309
15	174	10719
16	175	10175
17	177	9677
18	178	9222
19	179	8805
20	181	8439
21	182	8101
22	183	7789
23	184	7509
24	186	7258
25	187	7018
26	189	6832
27	190	6629
28	192	6432
29	193	6246
30	194	6085
31	196	5930
32	197	5780
33	198	5646
34	199	5509
35	201	5387
36	202	5266
37	204	5173
38	205	5071
39	207	4971
40	208	4878
41	209	4785
42	211	4700
43	212	4614
44	213	4533
45	215	4460
46	216	4387
47	218	4333
48	220	4272
49	221	4215
50	223	4153
51	224	4093
52	225	4038
53	227	3982
54	228	3932
55	230	3886
56	232	3847
57	234	3803
58	235	3758
59	237	3716
60	238	3671
61	239	3630
62	241	3588
63	242	3549
64	243	3508
65	245	3473
66	246	3438
67	248	3408
68	249	3371
69	251	3337
70	252	3303
71	253	3270
72	254	3237
73	256	3205
74	257	3176
75	258	3146
76	259	3116
77	261	3091
78	263	3070
79	264	3043
80	265	3017
81	267	2993
82	268	2961
83	269	2936
84	270	2915
85	272	2892
86	273	2870
87	274	2846
88	276	2833
89	278	2817
90	280	2803
91	282	2790
92	284	2774
93	285	2756
94	287	2737
95	289	2723
96	290	2703
97	291	2685
98	294	2681
99	296	2665
100	297	2652
101	299	2639
102	301	2626
103	302	2608
104	304	2595
105	306	2583
106	309	2579
107	310	2564
108	311	2550
109	313	2534
110	314	2522
111	316	2507
112	317	2492
113	318	2478
114	320	2467
115	322	2455
116	324	2445
117	325	2435
118	327	2426
119	329	2413
120	330	2401
121	331	2387
122	333	2377
123	334	2364
124	336	2355
125	338	2348
126	339	2334
127	341	2323
128	342	2312
129	343	2301
130	345	2290
131	346	2279
132	348	2270
133	349	2260
134	351	2250
135	354	2250
136	355	2242
137	357	2232
138	359	2226
139	360	2216
140	362	2207
141	363	2195
142	364	2186
143	366	2176
144	367	2169
145	369	2160
146	371	2153
147	373	2149
148	374	2141
149	376	2132
150	377	2123
151	379	2115
152	381	2110
153	384	2114
154	387	2112
155	389	2105
156	391	2101
157	393	2094
158	394	2088
159	396	2082
160	397	2074
161	399	2066
162	400	2058
163	402	2051
164	403	2043
165	406	2042
166	408	2038
167	410	2030
168	411	2022
169	412	2014
170	413	2006
171	415	1998
172	416	1993
173	418	1987
174	420	1981
175	422	1979
176	424	1975
177	426	1968
178	427	1961
179	429	1956
180	430	1950
181	433	1946
182	434	1940
183	436	1937
184	438	1932
185	440	1925
186	441	1919
187	442	1912
188	444	1905
189	445	1900
190	447	1893
191	448	1887
192	449	1880
193	452	1879
194	453	1873
195	455	1867
196	456	1860
197	457	1854
198	459	1849
199	460	1843
200	462	1839
201	464	1833
202	465	1827
203	467	1824
204	469	1820
205	470	1814
206	472	1808
207	473	1802
208	475	1798
209	476	1792
210	477	1786
211	479	1781
212	480	1775
213	482	1772
214	484	1767
215	486	1764
216	487	1758
217	488	1752
218	490	1747
219	491	1744
220	493	1739
221	494	1734
222	496	1728
223	498	1726
224	499	1721
225	501	1716
226	502	1712
227	504	1706
228	505	1701
229	506	1696
230	508	1691
231	510	1689
232	512	1685
233	513	1682
234	515	1677
235	516	1671
236	517	1667
237	519	1661
238	520	1657
239	522	1654
240	524	1651
241	525	1647
242	527	1642
243	528	1637
244	530	1633
245	531	1629
246	533	1625
247	534	1621
248	536	1618
249	537	1613
250	539	1609
251	540	1605
252	543	1604
253	545	1601
254	547	1598
255	549	1595
256	550	1591
257	552	1587
258	553	1583
259	555	1579
260	556	1575
261	558	1573
262	560	1571
263	562	1567
264	564	1564
265	565	1560
266	567	1556
267	568	1553
268	570	1549
269	571	1545
270	574	1544
271	576	1542
272	577	1538
273	579	1534
274	580	1531
275	582	1527
276	583	1523
277	585	1520
278	587	1517
279	589	1515
280	591	1512
281	593	1509
282	594	1506
283	595	1501
284	597	1498
285	599	1495
286	600	1491
287	602	1488
288	605	1489
289	606	1485
290	607	1481
291	609	1477
292	610	1473
293	612	1470
294	613	1466
295	615	1463
296	616	1460
297	619	1460
298	621	1457
299	623	1454
300	624	1450
301	626	1447
302	627	1444
303	629	1441
304	631	1438
305	632	1434
306	635	1434
307	637	1431
308	638	1427
309	640	1424
310	641	1421
311	642	1417
312	644	1413
313	645	1410
314	646	1406
315	648	1403
316	650	1401
